#YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD   PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,degT   hPa,degC,degC,degC,mi,ft
2022,1,5,11,26,999 99.0 99.0,1.48,5.26,5.42,114 9999.0,999,8.4,999,99,99
2022,1,5,11,56,999 99.0 99.0,1.4,11.76,5.53,97 9999.0,999,8.4,999,99,99
2022,1,5,12,26,999 99.0 99.0,1.4,12.5,5.84,85 9999.0,999,8.4,999,99,99
2022,1,5,12,56,999 99.0 99.0,1.39,12.5,5.94,86 9999.0,999,8.4,999,99,99
2022,1,5,13,26,999 99.0 99.0,1.37,11.76,6.07,85 9999.0,999,8.4,999,99,99
2022,1,5,13,56,999 99.0 99.0,1.37,11.11,6.3,90 9999.0,999,8.4,999,99,99
2022,1,5,14,26,999 99.0 99.0,1.4,11.76,6.92,97 9999.0,999,8.4,999,99,99
2022,1,5,14,56,999 99.0 99.0,1.37,12.5,6.13,92 9999.0,999,8.4,999,99,99
2022,1,5,15,26,999 99.0 99.0,1.35,12.5,6.15,93 9999.0,999,8.4,999,99,99
2022,1,5,15,56,999 99.0 99.0,1.29,11.76,5.99,82 9999.0,999,8.4,999,99,99
2022,1,5,16,26,999 99.0 99.0,1.33,11.11,6.69,89 9999.0,999,8.4,999,99,99
2022,1,5,16,56,999 99.0 99.0,1.21,12.5,6.23,79 9999.0,999,8.4,999,99,99
2022,1,5,17,26,999 99.0 99.0,1.17,11.11,6.08,85 9999.0,999,8.4,999,99,99
2022,1,5,17,56,999 99.0 99.0,1.18,11.76,6.31,85 9999.0,999,8.4,999,99,99
2022,1,5,18,26,999 99.0 99.0,1.2,11.76,6.74,90 9999.0,999,8.4,999,99,99
2022,1,5,18,56,999 99.0 99.0,1.2,11.76,6.67,89 9999.0,999,8.4,999,99,99
2022,1,5,19,26,999 99.0 99.0,1.17,11.76,6.55,85 9999.0,999,8.4,999,99,99
2022,1,5,19,56,999 99.0 99.0,1.09,11.11,6.3,90 9999.0,999,8.4,999,99,99
2022,1,5,20,26,999 99.0 99.0,1.14,10.53,6.58,80 9999.0,999,8.4,999,99,99
2022,1,5,20,56,999 99.0 99.0,1.13,11.76,6.23,99 9999.0,999,8.4,999,99,99
2022,1,5,21,26,999 99.0 99.0,1.07,13.33,6.1,93 9999.0,999,8.4,999,99,99
2022,1,5,21,56,999 99.0 99.0,1.11,14.29,6.2,89 9999.0,999,8.4,999,99,99
2022,1,5,22,26,999 99.0 99.0,0.99,11.11,5.84,85 9999.0,999,8.4,999,99,99
2022,1,5,22,56,999 99.0 99.0,1.1,12.5,6.26,92 9999.0,999,8.4,999,99,99
2022,1,5,23,26,999 99.0 99.0,1.15,14.29,6.25,102 9999.0,999,8.4,999,99,99
2022,1,5,23,56,999 99.0 99.0,1.19,13.33,6.37,89 9999.0,999,8.4,999,99,99
2022,1,6,0,26,999 99.0 99.0,1.26,13.33,5.99,85 9999.0,999,8.4,999,99,99
2022,1,6,0,56,999 99.0 99.0,1.26,6.25,5.91,124 9999.0,999,8.4,999,99,99
2022,1,6,1,26,999 99.0 99.0,1.28,6.25,5.91,125 9999.0,999,8.4,999,99,99
2022,1,6,1,56,999 99.0 99.0,1.28,6.25,5.88,127 9999.0,999,8.3,999,99,99
2022,1,6,2,26,999 99.0 99.0,1.28,6.67,5.77,118 9999.0,999,8.3,999,99,99
2022,1,6,2,56,999 99.0 99.0,1.25,12.5,5.99,93 9999.0,999,8.3,999,99,99
